R,R,R Company,R Website,R Sally Company,R Sally Website,R Stop-list Link,R Stop-list Company,R Pipe Link,R Pipe Company,ICP,Company,Website,Score,Reasoning,Notes
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Xapads Media,xapads.com,,"AI-powered programmatic ad platform combining audience insights with OpenRTB automation, offering mobile, TV, and rich media solutions for brands and agencies.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adstork Ad Network,adstork.com,,"Global ad network with 5B daily impressions and anti-fraud protection, offering automated CPA campaigns and 24/7 publisher support.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Bidtimize,bidtimize.com,,AI-powered programmatic ad platform offering premium inventory access and MRC-certified fraud protection for advertisers and publishers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,MyAdOptimizer LLC,myadoptimizer.com,,"A private ad exchange platform for publishers and advertisers, offering real-time bidding, direct campaign management, and automated optimization for better monetization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Cognoviq Advertising Agency,cognoviqads.com,,"A programmatic ad platform offering real-time bidding and cross-platform monetization for publishers, with 120+ demand partners and multilingual support.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Join Ads Network,joinads.me,,"A Google Ad Exchange-certified programmatic ad network for blogs and websites, offering custom ad formats and real-time revenue tracking with 15,000+ publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,The Trade Desk Edge Academy,thetradedesk.com,,"An independent DSP platform for programmatic advertising, offering premium inventory access and data-driven targeting across CTV, audio, and DOOH channels.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,LocalFactor,localfactorgroup.com,,"Omnichannel programmatic advertising platform using LFGID technology for cookieless audience activation and dynamic creative optimization across TV, mobile, and social channels.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdsHike,adshike.com,,"AI-powered ad monetization platform with premium demand partners and header bidding, offering no-exclusivity contracts and net 30 payments for publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Yieldmo,yieldmo.com,,"AI-powered programmatic ad platform optimizing creative formats and attention signals for premium inventory, delivering human-centered emotional impact ads.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adsconex,adsconex.com,,"AI-powered ad network connecting 28,000+ publishers with 7.4M advertisers, serving 15B+ monthly impressions and 2.4B+ annual conversions through real-time bidding.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Bidence Corp.,bidence.com,,"A global RTB ad exchange with unified auction technology, processing 200+ billion requests monthly and increasing revenue by 30% through fair mediation.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,i-mobile,i-mobile.co.jp,,Japan's largest ad network offering native and rewarded ads with JIAA-certified brand safety and high-performance optimization for advertisers and publishers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,RierraAds Inc.,rierra.com,,A programmatic advertising platform using RTB and deep-learning optimization to automate ad bidding and maximize clicks/conversions for publishers and advertisers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Smaato (Now part of Verve),smaato.com,,"A mobile-first ad tech platform offering in-app header bidding with real-time pricing and SKAdNetwork compliance, helping publishers maximize revenue through programmatic ads.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adstacks,adstacksmedia.com,,"A programmatic advertising platform with real-time bidding and private exchange access, offering 1000+ premium inventory sources and automated fraud detection.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Nominal Techno,nt.technology,,"AI-powered programmatic advertising platform for mobile apps, offering custom audience segmentation and real-time bidding to boost conversion rates by 30-50%.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Scoota,scoota.com,,"A programmatic ad platform with Sentinel™ fraud prevention and creative production, offering self-serve and managed service options for rich media campaigns.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdElement,adelement.com,,"An app-first ad mediation platform with AI-powered personalization and 80+ demand partners, helping publishers boost revenue by 50% through dynamic ad formats and real-time bidding.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BrightStream,brightstream.ai,,"A data-driven programmatic ad platform offering proprietary audience targeting and brand-safe inventory across mobile, desktop, and CTV channels with 24/7 IVT protection.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,Octoclick,Ad Tech,Octoclick,octoclick.com,,"An advertising network offering high-quality, bot-free traffic with in-page push and popunder formats, featuring auction-based monetization and low minimum deposits.",Ad Network (Lookalike TrafficStars)
FALSE,TRUE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Teads Korea,teads.com,,A premium editorial ad platform offering AI-driven creative optimization and brand-safe in-article placements across 2 billion monthly users.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AmCom,weamcom.com,,"A global programmatic ad exchange offering VAST, Header Bidding, and OpenRTB integrations with 10+ billion monthly impressions and real-time optimization tools.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Yllix Inc.,yllix.com,,"An international ad network offering high CPM rates ($3 US, $0.25 Africa) with daily payments and instant publisher approval. Specializes in Tier 1 ads for blogs.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adsaro ( A product of Softsaro),adsaro.com,,"A programmatic ad platform connecting advertisers with publishers, offering CPM/CPC bidding, high ECPM, and multiple payout options including bank transfers and WebMoney.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Colombia,colombiaonline.com,,"A premium adtech platform with 7000+ audience segments and 15B+ monthly content discoveries, offering machine learning-driven targeting and ROI optimization for advertisers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,1TRAFFIC,1traffic.pro,,"A multi-format ad network offering video, banner, and native ads with OpenRTB integration and fraud detection for CPC/CPM monetization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,MaxValue.Media,maxvalue.media,,An ad network specializing in sticky and video ads with real-time reporting and daily payouts via USDT/PayPal. Offers adblock traffic monetization and fraud protection.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,ReklamUp,reklamup.com,,"A Google Ad Manager partner specializing in header bidding and app mediation for mobile apps, offering real-time ad serving and eCPM optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BYYD • Mobile Advertising Platform,byyd.me,,"A mobile ad platform with 1.75B users, 90%+ viewability guarantee, and device ID retargeting for real-time bidding on apps and games.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adcloud GmbH,adcloud.com,,"A real-time German/French/Swiss/Spanish ad exchange platform processing 5,000+ impressions/sec, offering self-service management for 3,500+ clients across 500+ premium sites.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,Twinred,Ad Tech,TwinRed,twinred.com,,"A real-time bidding ad network offering private marketplaces and multi-format ads (interstitials, native, video) with precise targeting and fraud prevention tools.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,advertice,advertice.in,,"A self-serve programmatic ad platform integrating 65+ SSPs for real-time bidding and AI-driven targeting, offering dynamic creative optimization and transparent reporting.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Renova Ads,renovaads.com,,"A Latin American programmatic ad platform specializing in rebid technology and portal monetization, offering end-to-end solutions for publishers in Brazil, Argentina, and Chile.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BidtoX,bidtox.com,,"A programmatic ad platform with header bidding integration and white-label solutions, connecting publishers and advertisers through cross-channel targeting and machine learning optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,PPCmate,ppcmate.com,,"A programmatic ad platform offering real-time bidding for high-quality traffic with fraud detection and multi-format ad support (pop-under, push, native, video).",Ad Network (Lookalike TrafficStars)
TRUE,TRUE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Netpoint Media GmbH,netpoint-media.de,,"A German programmatic advertising platform specializing in travel ads, offering header bidding transparency and cross-device inventory for 25M+ monthly users.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Mintegral,mintegral.com,,A global mobile ad platform offering AI-powered user acquisition and monetization with COPPA-certified traffic and automated playable ad creation.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdYugo Media,adyugo.com,,"A global programmatic ad network for mobile, video, and display ads, offering Prebid SDK/no-SDK integration and premium brand demand for higher eCPM.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Genius Monkey,geniusmonkey.com,,"A programmatic advertising platform offering AI-powered optimization, brand safety, and ecommerce-specific attribution tracking with dedicated account management for enterprise clients.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,HueAds Inc,hueads.com,,"A programmatic advertising platform offering real-time bidding and native ads with Prebid Server integration, helping advertisers target premium inventory and publishers boost revenue.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,IMXBIDDING TECHNOLOGY PTE. LTD.,imxbidding.net,,A real-time bidding ad tech platform with AI analytics and lightweight mobile SDK for global ad campaigns and performance optimization.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Black Media ADX,blackmediaadx.com,,"A programmatic ad platform for publishers offering header bidding, unified auctions, and DFP compatibility to maximize ad revenue through real-time bidding and machine learning optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BidderDesk,bidderdesk.com,,A full-stack programmatic ad platform offering SSP/DSP solutions with AI-driven ROI optimization and mobile/video ad targeting for publishers and advertisers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Pareto21,pareto21.com,,"A real-time bidding platform for programmatic advertising, offering cross-device targeting and global inventory across 100+ countries with ORTB-based transparency.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Nitro Media Inc.,gonitromedia.com,,"A mobile-focused advertising platform offering video carousel banners with voiceovers, providing real-time revenue reporting and bot protection for publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,TrinytyMedia,trinytymedia.com,,"A programmatic advertising platform using RTB technology to connect advertisers with global publishers, offering real-time bid optimization and fraud prevention.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adelphic,viantinc.com,,"A programmatic advertising platform offering omnichannel targeting across CTV, DOOH, and audio with AI-powered optimization and first-party data activation.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Traffective,traffective.com,,"A programmatic ad platform for publishers offering native ads, Google Ad Manager 360 integration, and IAB-compliant ads.txt management with transparent revenue sharing.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Bidinfluence,bidinfluence.com,,"A mobile-first programmatic ad platform using OpenRTB for real-time bidding, offering AI-driven video monetization and dynamic floor pricing optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Ribeye,ribeye.media,,"A unified programmatic platform for streaming TV, OTT, and display ads, offering enterprise forecasting and full supply path transparency across multiple channels.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,InkRevenue,inkrevenue.com,,"A digital advertising platform offering self-service SSP with 8,000+ publishers, real-time bidding, and performance-based models like CPM and CPA.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Exim Digital Network,eximdigital.com,,"A real-time bidding ad network specializing in XML search ads, offering self-serve platforms and 1000+ publisher coverage with 1.5M daily impressions.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Gamoshi,gamoshi.com,,"A programmatic ad platform offering real-time transparency and omnichannel monetization for advertisers and publishers, with proprietary technology and white-label solutions.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BidEx,bidex.cn,,"A global mobile ad exchange platform offering RTB for banners, native, and in-app ads with real-time data management and flexible pricing.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Bat-Ads,bat-ads.com,,"Global programmatic ad network with OpenRTB and VAST support, offering premium display and mobile ads with high viewability and XML integration.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Vimmy Ads,vimmy.com,,"A self-service ad network offering high-quality direct traffic with 85% revshare, smart optimization tools, and multiple ad formats like popunder and push notifications.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Nexxen,nexxen.com,,"A unified DSP/SSP platform for programmatic advertising, specializing in CTV targeting and green media solutions with Scope3 carbon emissions exclusion.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Eonads,eonads.com,,"A high-paying CPM/CPC ad network with AI optimization and real-time bidding, offering 100% fill rates and detailed reporting for publishers and advertisers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,EscalaX,escalax.io,,"A programmatic ad platform connecting 50,000+ publishers with AI-driven targeting, offering brand-safe CTV/video ads and 15,000+ active campaigns worldwide.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdView Global,adview.com,,"A mobile ad exchange specializing in in-app advertising, connecting Chinese publishers with global demand partners through real-time bidding and custom SDKs.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Headerbidding,headerbidding.co,,"A publisher-focused ad tech platform offering programmatic monetization tools, header bidding solutions, and first-party data strategies for independent publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,SD Digitech Media,sddigitechmedia.com,,AI-powered display ad network specializing in performance marketing (CPL/CPA/CPS) with influencer integration and 360° digital solutions for B2B and ecommerce.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adniter,adniter.com,,A real-time ad monetization platform that optimizes inventory value with proprietary algorithms and high-quality demand partnerships for publishers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adxplorers,adxplorers.com,,"AI-powered ad tech platform with real-time bidding and bot detection, supporting banners, videos, and CTV across 30,000+ websites and 200+ demand partners.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Advertising365,advertising365.com,,"A global pay-per-click ad network connecting advertisers with 150+ publishers across 20+ categories, offering real-time reporting and multi-currency payment options.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Red View Media,redviewmedia.com,,"A premium digital advertising network offering multiscreen solutions (display, mobile, video) with brand-safe inventory and performance pricing through real-time retargeting.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,SilverMob,silvermob.com,,"A mobile ad platform offering deep learning optimization, quality screening, and CTV support for publishers and advertisers, with automated bidding and real-time analytics.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdsVictory,adsvictory.com,,"A programmatic ad network offering header bidding with 30+ demand partners and brand-safe inventory, featuring fraud protection and publisher referral programs.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Intellectscoop Media,intellectscoop.com,,"A programmatic ad platform offering RTB for premium inventory, fraud-free environments, and cross-screen support with 24/7 technical support for advertisers and publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,adApace Media,adapace.com,,"A programmatic ad platform offering RTB for premium inventory, cross-screen support, and fraud-free environments with global traffic and transparent reporting.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,SMARTER WIRELESS,mobismarter.com,,"A programmatic ad platform connecting mobile publishers with 50+ DSPs, featuring fraud protection and cross-device native/video ad support for premium monetization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,BlueSea,blueseasx.com,,"AI-powered programmatic ad platform for mobile and CTV, offering first-party data targeting and high ECPM fill rates with 300+ global buyers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Thetrafficbid,thetrafficbid.com,,"A real-time bidding ad platform offering dynamic ad formats and transparency for publishers and advertisers, with demand matching and optimization tools.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Way.io,way.io,,A programmatic advertising platform using AI optimization and cross-device targeting to boost brand campaigns with real-time performance monitoring and anti-fraud protection.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,QUARTER MEDIA GmbH,quartermedia.de,,"A German programmatic advertising platform with 300+ private deals and Google Ad Manager 360 integration, reaching 50 million monthly users through 250+ publisher sites.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,ClickAD,clickad.com,,"AI-powered ad exchange for global mobile and web publishers, offering RTB and fraud prevention with real-time user targeting and performance analytics.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,AdPhi,adphimedia.com,,"A programmatic advertising platform with advanced anti-fraud technology and KPI-optimized media buying, offering transparent tracking and OS/city targeting in T1 regions.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Nexverse.ai,nexverse.ai,,"AI-powered programmatic ad exchange connecting 6000+ publishers with real-time bidding, fraud prevention, and 200+ country coverage for advertisers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Milkywase Media,milkywase.com,,"AI-powered programmatic ad platform offering real-time bidding, native/CTV solutions, and premium inventory access for brands and publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Chevoot Digital Media Private Limited,chevoot.com,,"AI-powered programmatic ad platform with real-time bidding and fraud detection, offering 4.5B+ monthly impressions across 1000+ publishers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,FLAP.ONE,flap.one,,"A programmatic advertising platform offering exclusive high-quality publisher inventory and IAB-certified 1st party data for transparent display, video, and native ad campaigns.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Hyperbidder,hyperbidder.com,,"A blockchain-powered ad exchange offering AI-targeted ads with re-targeting and geo-targeting, featuring proprietary Ad Accelerator and dedicated account managers.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,nexRTB,nexrtb.com,,"A programmatic ad network offering pay-per-click PPC with fraud protection and real-time tracking, connecting advertisers with publishers through API access and XML feeds.",Ad Network (Lookalike TrafficStars)
